Company,Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium  (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g)
McDonald’s,Hamburger,250.0,9,3.5,0.5,25,520,31,2,6.0,12
McDonald’s,Cheeseburger,300.0,12,6,0.5,40,750,33,2,6.0,15
McDonald’s,Double Cheeseburger,440.0,23,11,1.5,80,1150,34,2,7.0,25
McDonald’s,McDouble,390.0,19,8,1,65,920,33,2,7.0,22
McDonald’s, Quarter Pounder® with Cheese,510.0,26,12,1.5,90,1190,40,3,9.0,29
McDonald’s,Double Quarter Pounder® with Cheese,740.0,42,19,2.5,155,1380,40,3,9.0,48
McDonald’s,Big Mac®,540.0,29,10,1.5,75,1040,45,3,9.0,25
McDonald’s,Big N’ Tasty®,460.0,24,8,1.5,70,720,37,3,8.0,24
McDonald’s,Big N’ Tasty® with Cheese,510.0,28,11,1.5,85,960,38,3,8.0,27
McDonald’s,Angus Bacon & Cheese,790.0,39,17,2,145,2070,63,4,13.0,45
McDonald’s,Angus Deluxe,750.0,39,16,2,135,1700,61,4,10.0,40
McDonald’s,Angus Mushroom & Swiss,770.0,40,17,2,135,1170,59,4,8.0,44
McDonald’s,Filet-O-Fish®,380.0,18,3.5,0,40,640,38,2,5.0,15
McDonald’s,McChicken ®,360.0,16,3,0,35,830,40,2,5.0,14
McDonald’s,McRib ®,500.0,26,10,0,70,980,44,3,11.0,22
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.0,9,2,0,65,820,41,4,8.0,27
McDonald’s,Premium Crispy Chicken Classic Sandwich,510.0,22,3.5,0,45,990,56,3,10.0,24
McDonald’s,Premium Grilled Chicken Club Sandwich,460.0,17,6,0,90,1040,43,4,9.0,35
McDonald’s,Premium Crispy Chicken Club Sandwich,620.0,29,7,0,70,1200,57,3,11.0,31
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380.0,10,3,0,75,1000,41,4,9.0,31
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540.0,23,4.5,0,55,1160,56,3,11.0,27
McDonald’s,Southern Style Crispy Chicken Sandwich,400.0,17,3,0,45,1030,39,1,6.0,24
McDonald’s,Ranch Snack Wrap® (Crispy),340.0,17,4.5,0,30,810,33,1,2.0,14
McDonald’s,Ranch Snack Wrap® (Grilled),270.0,10,4,0,45,830,26,1,2.0,18
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330.0,16,4.5,0,30,780,34,1,4.0,14
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260.0,9,3.5,0,45,800,27,1,4.0,18
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330.0,15,4.5,0,30,810,35,1,4.0,14
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260.0,9,3.5,0,45,830,28,1,5.0,18
McDonald’s,Angus Bacon & Cheese Snack Wrap,390.0,21,9,1,75,1080,28,1,4.0,21
McDonald’s,Angus Chipotle BBQ Bacon,800.0,39,18,2,145,2020,66,4,16.0,45
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400.0,22,10,1,75,1060,30,1,6.0,21
McDonald’s,Angus Deluxe Snack Wrap,410.0,25,10,1.5,75,990,27,2,3.0,20
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430.0,26,10,1.5,75,730,27,2,2.0,22
McDonald’s,Mac Snack Wrap,330.0,19,7,1,45,690,26,1,3.0,15
McDonald’s,Small French Fries,230.0,11,1.5,0,0,160,29,3,0.0,3
McDonald’s,Medium French Fries,380.0,19,2.5,0,0,270,48,5,0.0,4
McDonald’s,Large French Fries,500.0,25,3.5,0,0,350,63,6,0.0,6
McDonald’s,Ketchup Packet,15.0,0,0,0,0,110,3,0,2.0,0
McDonald’s,Salt Packet,0.0,0,0,0,0,270,0,0,0.0,0
McDonald’s,Chicken McNuggets® (4 piece),190.0,12,2,0,25,360,12,1,0.0,9
McDonald’s,Chicken McNuggets® (6 piece),280.0,18,3,0,40,540,18,1,0.0,13
McDonald’s,Chicken McNuggets® (10 piece),470.0,30,5,0,65,900,30,2,0.0,22
McDonald’s,Barbeque Sauce,50.0,0,0,0,0,260,12,0,10.0,0
McDonald’s,Honey,50.0,0,0,0,0,0,12,0,11.0,0
McDonald’s,Hot Mustard Sauce,60.0,2.5,0,0,5,250,9,2,6.0,1
McDonald’s,Sweet ‘N Sour Sauce,50.0,0,0,0,0,150,12,0,10.0,0
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.0,24,3.5,0,50,1010,23,0,0.0,23
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.0,40,6,0,85,1680,39,0,0.0,38
McDonald’s,Spicy Buffalo Sauce,60.0,6,1,0,0,800,1,1,0.0,0
McDonald’s,Creamy Ranch Sauce,170.0,18,3,0,10,270,2,0,1.0,0
McDonald’s,Tangy Honey Mustard Sauce,60.0,2,0,0,5,140,10,0,8.0,0
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.0,0,0,0,0,210,15,1,11.0,0
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.0,9,3,0,70,960,30,6,11.0,30
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.0,20,4,0,55,920,38,6,12.0,26
McDonald’s,Premium Southwest Salad (without chicken),140.0,4.5,2,0,10,150,20,6,6.0,6
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.0,9,4,0,90,1010,12,3,5.0,33
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.0,20,6,0,75,970,20,3,6.0,29
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.0,7,3.5,0,25,300,10,3,4.0,9
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.0,6,3,0,75,890,12,3,5.0,30
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.0,17,4.5,0,60,840,20,3,6.0,26
McDonald’s,Premium Caesar Salad (without chicken),90.0,4,2.5,0,10,180,9,3,4.0,7
McDonald’s,Side Salad,20.0,0,0,0,0,10,4,1,2.0,1
McDonald’s,Butter Garlic Croutons,60.0,1.5,0,0,0,140,10,1,0.0,2
McDonald’s,Snack Size Fruit & Walnut Salad,210.0,8,1.5,0,5,60,31,2,25.0,4
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.0,6,1,0,20,340,11,0,3.0,1
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.0,18,3.5,0,20,500,4,0,2.0,2
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,3,0,0,0,730,4,0,3.0,0
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,2.5,0,0,0,730,8,0,1.0,1
McDonald’s,Newman’s Own® Ranch Dressing,170.0,15,2.5,0,20,530,9,0,4.0,1
McDonald’s,Egg McMuffin®,300.0,12,5,0,260,820,30,2,3.0,18
McDonald’s,Sausage McMuffin®,370.0,22,8,0,45,850,29,2,2.0,14
McDonald’s,Sausage McMuffin® with Egg,450.0,27,10,0,285,920,30,2,2.0,21
McDonald’s,English Muffin,160.0,3,0.5,0,0,280,27,2,2.0,5
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,23,12,0,235,1160,37,2,3.0,15
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,27,12,0,235,1270,43,3,4.0,15
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,33,14,0,250,1170,36,2,2.0,18
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.0,37,15,0,250,1280,42,3,3.0,18
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.0,27,12,0,30,1080,34,2,2.0,11
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.0,31,13,0,30,1190,39,3,3.0,11
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,20,8,0,30,1180,41,2,3.0,17
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,24,9,0,30,1290,46,3,4.0,17
McDonald’s,"Steak, Egg & Cheese Bagel",660.0,33,12,1,300,1580,56,3,7.0,33
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.0,18,8,0,240,1110,48,2,15.0,15
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.0,32,12,0,265,1360,48,2,15.0,20
McDonald’s,Sausage McGriddles®,420.0,22,8,0,35,1030,44,2,15.0,11
McDonald’s,Big Breakfast® (Regular Size Biscuit),740.0,48,17,0,555,1560,51,3,3.0,28
McDonald’s,Big Breakfast® (Large Size Biscuit),800.0,52,18,0,555,1680,56,4,3.0,28
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,56,19,0,575,2150,111,6,17.0,36
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,60,20,0,575,2260,116,7,17.0,36
McDonald’s,Sausage Burrito,300.0,16,7,0,115,830,26,1,2.0,12
McDonald’s,McSkillet™ Burrito with Sausage,610.0,36,14,0.5,410,1390,44,3,4.0,27
McDonald’s,Hotcakes,350.0,9,2,0,20,590,60,3,14.0,8
McDonald’s,Hotcakes and Sausage,520.0,24,7,0,50,930,61,3,14.0,15
McDonald’s,Hotcake Syrup,180.0,0,0,0,0,20,45,0,32.0,0
McDonald’s,Whipped Margarine (1 pat),40.0,4.5,1.5,0,0,55,0,0,0.0,0
McDonald’s,Hash Brown,150.0,9,1.5,0,0,310,15,2,0.0,1
McDonald’s,Grape Jam,35.0,0,0,0,0,0,9,0,9.0,0
McDonald’s,Strawberry Preserves,35.0,0,0,0,0,0,9,0,9.0,0
McDonald’s,"Bacon, Egg & Cheese Bagel",560.0,27,9,0.5,260,1300,56,3,7.0,24
McDonald’s,Fruit & Maple Oatmeal,290.0,4.5,2,0,10,160,57,5,32.0,5
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260.0,4.5,2,0,10,115,48,5,18.0,5
McDonald’s,Hamburger Happy Meal,475.0,16,5.5 g,0,40,690,62,2,20.0,22
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395.0,17,3.5,0,35,510,41,1,14.0,19
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475.0,22,4.5,0,50,680,46,2,14.0,24
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160.0,2,1,0,5,85,31,1,21.0,4
McDonald’s,Low Fat Caramel Dip,70.0,0.5,0,0,5,35,15,0,9.0,0
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,150.0,3.5,2,0,15,60,24,0,18.0,4
McDonald’s,Kiddie Cone,45.0,1,0.5,0,5,20,8,0,6.0,1
McDonald’s,Strawberry Sundae,280.0,6,4,0,25,95,49,1,45.0,6
McDonald’s,Hot Caramel Sundae,340.0,8,5,0,30,160,60,1,44.0,7
McDonald’s,Hot Fudge Sundae,330.0,10,7,0,25,180,54,2,48.0,8
McDonald’s,Peanuts (for Sundaes),45.0,3.5,0.5,0,0,0,2,1,0.0,2
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),710.0,25,16,1,60,220,105,4,97.0,15
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),580.0,19,10,1,50,320,89,3,73.0,13
McDonald’s,Baked Hot Apple Pie,250.0,13,7,0,0,170,32,4,13.0,2
McDonald’s,Cinnamon Melts,460.0,19,9,0,15,370,66,3,32.0,6
McDonald’s,McDonaldland® Cookies,260.0,8,2.5,0,0,300,43,1,13.0,4
McDonald’s,Chocolate Chip Cookie,160.0,8,3.5,0,10,90,21,1,15.0,2
McDonald’s,Oatmeal Raisin Cookie,150.0,6,2.5,0,10,135,22,1,13.0,2
McDonald’s,Sugar Cookie,160.0,7,3,0,5,120,21,0,11.0,2
McDonald’s,Apple Dippers with Low Fat Caramel Dip,100.0,0.5,0,0,5,35,23,0,15.0,0
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),580.0,17,10,1,50,240,94,1,77.0,11
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),720.0,20,12,1,60,300,119,1,98.0,15
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),880.0,24,15,1.5,75,370,147,1,121.0,18
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),440.0,10,6,0.5,40,190,76,1,63.0,10
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),580.0,14,8,1,50,250,102,1,84.0,13
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),770.0,18,11,1,70,330,134,1,111.0,18
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),1160.0,27,16,2,100,510,203,2,168.0,27
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,430.0,16,10,0.5,35,130,64,2,59.0,9
McDonald’s,Snack Size McFlurry® with OREO® Cookies,340.0,12,6,0,30,200,53,2,43.0,8
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),570.0,17,10,1,50,170,92,0,79.0,11
McDonald’s,Strawberry McCafé® Shake (16 fl oz cup),710.0,20,12,1,65,210,116,0,100.0,14
McDonald’s,Strawberry McCafé® Shake (22 fl oz cup),860.0,24,15,1.5,75,260,144,0,124.0,18
McDonald’s,Strawberry Triple Thick® Shake (12 fl oz cup),420.0,10,6,0.5,40,130,73,0,63.0,10
McDonald’s,Strawberry Triple Thick® Shake (16 fl oz cup),560.0,13,8,1,50,170,97,0,84.0,13
McDonald’s,Strawberry Triple Thick® Shake (21 fl oz cup),740.0,18,11,1,70,230,128,0,111.0,17
McDonald’s,Strawberry Triple Thick® Shake (32 fl oz cup),1110.0,26,16,2,100,350,194,0,168.0,25
McDonald’s,Vanilla McCafé® Shake (12 fl oz cup),540.0,16,10,1,45,170,88,0,64.0,10
McDonald’s,Vanilla McCafé® Shake (16 fl oz cup),680.0,20,12,1,60,220,111,0,82.0,14
McDonald’s,Vanilla McCafé® Shake (22 fl oz cup),830.0,24,14,1.5,75,270,138,0,103.0,17
McDonald’s,Vanilla Triple Thick Shake® (32 fl oz cup),1110.0,26,16,2,100,370,193,0,145.0,25
McDonald’s,Vanilla Triple Thick® Shake (12 fl oz cup),420.0,10,6,0.5,40,140,72,0,54.0,9
McDonald’s,Vanilla Triple Thick® Shake (16 fl oz cup),550.0,13,8,1,50,190,96,0,72.0,13
McDonald’s,Vanilla Triple Thick® Shake (21 fl oz cup),740.0,18,11,1,70,250,128,0,96.0,17
McDonald’s,1% Low Fat Milk Jug,100.0,2.5,1.5,0,10,125,12,0,12.0,8
McDonald’s,1% Low Fat Chocolate Milk Jug,170.0,3,1.5,0,5,150,26,1,25.0,9
McDonald’s,Minute Maid® 100% Apple Juice Box,100.0,0,0,0,0,15,23,0,22.0,0
McDonald’s,Dasani® Water,0.0,0,0,0,0,0,0,0,0.0,0
McDonald’s,Minute Maid® Orange Juice (Small),150.0,0,0,0,0,0,30,0,30.0,2
McDonald’s,Minute Maid® Orange Juice (Medium),190.0,0,0,0,0,0,39,0,39.0,3
McDonald’s,Minute Maid® Orange Juice (Large),280.0,0,0,0,0,5,58,0,58.0,4
McDonald’s,Coca-Cola® Classic (Child),110.0,0,0,0,0,5,29,0,29.0,0
McDonald’s,Coca-Cola® Classic (Small),150.0,0,0,0,0,10,40,0,40.0,0
McDonald’s,Coca-Cola® Classic (Medium),210.0,0,0,0,0,15,58,0,58.0,0
McDonald’s,Coca-Cola® Classic (Large),310.0,0,0,0,0,20,86,0,86.0,0
McDonald’s,Diet Coke® (Child),0.0,0,0,0,0,15,0,0,0.0,0
McDonald’s,Diet Coke® (Small),0.0,0,0,0,0,20,0,0,0.0,0
McDonald’s,Diet Coke® (Medium),0.0,0,0,0,0,30,0,0,0.0,0
McDonald’s,Diet Coke® (Large),0.0,0,0,0,0,45,0,0,0.0,0
McDonald’s,Sprite® (Child),110.0,0,0,0,0,30,28,0,28.0,0
McDonald’s,Sprite® (Small),150.0,0,0,0,0,40,39,0,39.0,0
McDonald’s,Sprite® (Medium),210.0,0,0,0,0,55,56,0,56.0,0
McDonald’s,Sprite® (Large),310.0,0,0,0,0,80,83,0,83.0,0
McDonald’s,Hi-C® Orange Lavaburst (Child),120.0,0,0,0,0,0,32,0,32.0,0
McDonald’s,Hi-C® Orange Lavaburst (Small),160.0,0,0,0,0,5,44,0,44.0,0
McDonald’s,Hi-C® Orange Lavaburst (Medium),240.0,0,0,0,0,10,64,0,64.0,0
McDonald’s,Hi-C® Orange Lavaburst (Large),350.0,0,0,0,0,10,94,0,94.0,0
McDonald’s,POWERade® Mountain Blast (Child),70.0,0,0,0,0,65,20,0,16.0,0
McDonald’s,POWERade® Mountain Blast (Small),100.0,0,0,0,0,85,27,0,21.0,0
McDonald’s,POWERade® Mountain Blast (Medium),150.0,0,0,0,0,130,39,0,31.0,0
McDonald’s,POWERade® Mountain Blast (Large),220.0,0,0,0,0,190,58,0,46.0,0
McDonald’s,Iced Tea (Child),0.0,0,0,0,0,5,0,0,0.0,0
McDonald’s,Iced Tea (Small),0.0,0,0,0,0,10,0,0,0.0,0
McDonald’s,Iced Tea (Medium),0.0,0,0,0,0,15,0,0,0.0,0
McDonald’s,Iced Tea (Large),0.0,0,0,0,0,20,1,0,0.0,0
McDonald’s,Coffee (Small),0.0,0,0,0,0,0,0,0,0.0,0
McDonald’s,Coffee (Large),0.0,0,0,0,0,0,0,0,0.0,0
McDonald’s,Coffee Cream,20.0,2,1.5,0,10,15,0,0,0.0,0
McDonald’s,Sugar Packet,15.0,0,0,0,0,0,4,0,4.0,0
McDonald’s,"EQUAL® 0
Calorie Sweetener",0.0,0,0,0,0,0,1,0,1.0,0
McDonald’s,"SPLENDA® No
Calorie Sweetener",0.0,0,0,0,0,0,1,0,1.0,0
McDonald’s,Iced Coffee– Caramel (Small),130.0,5,3.5,0,20,80,21,0,20.0,1
McDonald’s,Iced Coffee– Caramel (Medium),190.0,8,5,0,30,115,27,0,27.0,2
McDonald’s,Iced Coffee– Caramel (Large),270.0,11,7,0,40,160,41,0,41.0,2
McDonald’s,Iced Coffee– Hazelnut (Small),130.0,5,3.5,0,20,40,21,0,21.0,1
McDonald’s,Iced Coffee– Hazelnut (Medium),190.0,8,5,0,30,60,29,0,29.0,2
McDonald’s,Iced Coffee– Hazelnut (Large),270.0,11,7,0,40,85,43,0,43.0,2
McDonald’s,Iced Coffee– Regular (Small),140.0,5,3.5,0,20,40,22,0,22.0,1
McDonald’s,Iced Coffee– Regular (Medium),200.0,8,5,0,30,60,30,0,30.0,2
McDonald’s,Iced Coffee– Regular (Large),280.0,11,7,0,40,85,45,0,45.0,2
McDonald’s,Iced Coffee– Vanilla (Small),130.0,5,3.5,0,20,40,21,0,21.0,1
McDonald’s,Iced Coffee– Vanilla (Medium),190.0,8,5,0,30,60,29,0,28.0,2
McDonald’s,Iced Coffee– Vanilla (Large),270.0,11,7,0,40,80,43,0,43.0,2
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),60.0,5,3.5,0,20,70,8,0,1.0,1
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Medium),90.0,8,5,0,30,100,11,0,2.0,2
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Large),120.0,11,7,0,40,140,16,0,2.0,2
McDonald’s,Sweet Tea (Child),110.0,0,0,0,0,5,27,0,27.0,0
McDonald’s,Sweet Tea (Large),280.0,0,0,0,0,15,69,0,69.0,1
McDonald’s,Sweet Tea (Medium),180.0,0,0,0,0,10,45,0,45.0,1
McDonald’s,Sweet Tea (Small),150.0,0,0,0,0,10,36,0,36.0,1
McDonald’s,Nonfat Cappuccino (Small),60.0,0,0,0,5,85,9,0,9.0,6
McDonald’s,Nonfat Cappuccino (Medium),80.0,0,0,0,5,110,12,0,12.0,8
McDonald’s,Nonfat Cappuccino (Large),90.0,0,0,0,5,130,13,0,13.0,9
McDonald’s,Nonfat Latte (Small),90.0,0,0,0,5,115,13,0,13.0,9
McDonald’s,Nonfat Latte (Medium),110.0,0,0,0,5,140,15,0,15.0,10
McDonald’s,Nonfat Latte (Large),120.0,0,0,0,5,160,18,0,18.0,12
McDonald’s,Nonfat Caramel Cappuccino (Small),150.0,0,0,0,5,120,33,0,32.0,5
McDonald’s,Nonfat Caramel Cappuccino (Medium),190.0,0,0,0,5,150,41,0,41.0,6
McDonald’s,Nonfat Caramel Cappuccino (Large),230.0,0,0,0,5,180,49,0,49.0,7
McDonald’s,Nonfat Caramel Latte (Small),170.0,0,0,0,5,150,36,0,36.0,7
McDonald’s,Nonfat Caramel Latte (Medium),220.0,0,0,0,5,180,45,0,45.0,9
McDonald’s,Nonfat Caramel Latte (Large),260.0,0,0,0,5,220,53,0,53.0,10
McDonald’s,Nonfat Hazelnut Cappuccino (Small),150.0,0,0,0,5,70,34,0,34.0,5
McDonald’s,Nonfat Hazelnut Cappuccino (Medium),190.0,0,0,0,5,90,43,0,43.0,6
McDonald’s,Nonfat Hazelnut Cappuccino (Large),230.0,0,0,0,5,100,51,0,51.0,7
McDonald’s,Nonfat Hazelnut Latte (Small),180.0,0,0,0,5,95,37,0,37.0,7
McDonald’s,Nonfat Hazelnut Latte (Medium),220.0,0,0,0,5,115,46,0,46.0,9
McDonald’s,Nonfat Hazelnut Latte (Large),260.0,0,0,0,5,135,55,0,55.0,10
McDonald’s,Nonfat Vanilla Cappuccino (Small),150.0,0,0,0,5,70,34,0,34.0,5
McDonald’s,Nonfat Vanilla Cappuccino (Medium),190.0,0,0,0,5,90,42,0,42.0,6
McDonald’s,Nonfat Vanilla Cappuccino (Large),230.0,0,0,0,5,100,51,0,51.0,7
McDonald’s,Nonfat Vanilla Latte (Small),180.0,0,0,0,5,95,37,0,37.0,7
McDonald’s,Nonfat Vanilla Latte (Medium),220.0,0,0,0,5,115,46,0,46.0,9
McDonald’s,Nonfat Vanilla Latte (Large),260.0,0,0,0,5,135,55,0,55.0,10
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50.0,0,0,0,5,100,15,0,8.0,5
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70.0,0,0,0,5,130,19,0,10.0,7
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80.0,0,0,0,5,150,22,0,11.0,8
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Small),80.0,0,0,0,5,130,18,0,11.0,7
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90.0,0,0,0,5,160,22,0,13.0,9
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Large),110.0,0,0,0,5,190,27,0,15.0,11
McDonald’s,Mocha with Nonfat Milk (Small),240.0,5,3,0,5,130,41,0,34.0,7
McDonald’s,Mocha with Nonfat Milk (Medium),280.0,6,3.5,0,10,160,50,0,42.0,8
McDonald’s,Mocha with Nonfat Milk (Large),330.0,6,3.5,0,10,190,58,0,50.0,10
McDonald’s,Hot Chocolate with Nonfat Milk (Small),250.0,5,3,0,10,140,43,0,37.0,8
McDonald’s,Hot Chocolate with Nonfat Milk (Medium),310.0,6,3.5,0,10,190,55,0,47.0,11
McDonald’s,Hot Chocolate with Nonfat Milk (Large),390.0,6,3.5,0,10,250,68,0,59.0,16
McDonald’s,Iced Nonfat Latte (Small),50.0,0,0,0,5,70,7,0,7.0,5
McDonald’s,Iced Nonfat Latte (Medium),60.0,0,0,0,5,90,9,0,9.0,6
McDonald’s,Iced Nonfat Latte (Large),70.0,0,0,0,5,105,11,0,11.0,7
McDonald’s,Iced Nonfat Caramel Latte (Small),140.0,0,0,0,0,105,30,0,30.0,3
McDonald’s,Iced Nonfat Caramel Latte (Medium),150.0,0,0,0,5,120,32,0,32.0,5
McDonald’s,Iced Nonfat Caramel Latte (Large),190.0,0,0,0,5,150,40,0,40.0,6
McDonald’s,Iced Nonfat Hazelnut Latte (Small),140.0,0,0,0,0,50,32,0,32.0,3
McDonald’s,Iced Nonfat Hazelnut Latte (Medium),150.0,0,0,0,5,70,33,0,33.0,5
McDonald’s,Iced Nonfat Hazelnut Latte (Large),190.0,0,0,0,5,80,42,0,42.0,6
McDonald’s,Iced Nonfat Vanilla Latte (Small),140.0,0,0,0,0,50,31,0,31.0,3
McDonald’s,Iced Nonfat Vanilla Latte (Medium),150.0,0,0,0,5,70,33,0,33.0,5
McDonald’s,Iced Nonfat Vanilla Latte (Large),190.0,0,0,0,5,85,41,0,41.0,6
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40.0,0,0,0,0,85,13,0,5.0,4
